綜合其他,#genre#
台視HD,http://192.168.100.1:50007/li-4gtv-4gtv066/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
民視HD,http://192.168.100.1:50007/li-4gtv-4gtv002/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
民視HD,http://192.168.100.1:50007/li-4gtv-4gtv155/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
民視第一台,http://192.168.100.1:50007/li-4gtv-4gtv003/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
民視台灣台,http://192.168.100.1:50007/li-4gtv-4gtv001/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
華視,http://192.168.100.1:50007/li-4gtv-4gtv041/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
華視,http://192.168.100.1:50007/of-4gtv-4gtv041/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
客家電視,http://192.168.100.1:50007/li-4gtv-4gtv043/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
TVBS HD,http://192.168.100.1:50007/li-4gtv-4gtv073/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
中視,http://192.168.100.1:50007/li-4gtv-4gtv040/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
中視,http://192.168.100.1:50007/of-4gtv-4gtv040/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖天綜合,http://192.168.100.1:50007/li-4gtv-4gtv046/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖天日本,http://192.168.100.1:50007/li-4gtv-4gtv047/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖天育樂,http://192.168.100.1:50007/li-4gtv-4gtv062/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖天國際,http://192.168.100.1:50007/li-4gtv-4gtv063/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖天歡樂,http://192.168.100.1:50007/li-4gtv-4gtv054/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
靖天資訊,http://192.168.100.1:50007/li-4gtv-4gtv065/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
國會頻道1台,http://192.168.100.1:50007/li-4gtv-4gtv084/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
國會頻道1台,http://192.168.100.1:50007/of-4gtv-4gtv084/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
國會頻道2台,http://192.168.100.1:50007/li-4gtv-4gtv085/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
國會頻道2台,http://192.168.100.1:50007/of-4gtv-4gtv085/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
好消息,http://192.168.100.1:50007/li-litv-ftv16/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
好消息,http://192.168.100.1:50007/of-litv-ftv16/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
好消息2台,http://192.168.100.1:50007/li-litv-ftv17/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
好消息2台,http://192.168.100.1:50007/of-litv-ftv17/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
韓國娛樂台,http://192.168.100.1:50007/li-4gtv-4gtv016/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
Arirang TV,http://192.168.100.1:50007/li-4gtv-4gtv079/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW

新聞財經,#genre#
台視新聞台,http://192.168.100.1:50007/li-4gtv-4gtv051/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
民視新聞,http://192.168.100.1:50007/li-litv-ftv13/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
東森新聞,http://192.168.100.1:50007/li-4gtv-4gtv152/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
TVBS新聞台,http://192.168.100.1:50007/li-4gtv-4gtv072/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
華視新聞台,http://192.168.100.1:50007/li-4gtv-4gtv052/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
華視新聞台,http://192.168.100.1:50007/of-4gtv-4gtv052/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
寰宇新聞,http://192.168.100.1:50007/li-litv-longturn14/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
寰宇新聞,http://192.168.100.1:50007/of-litv-longturn14/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
寰宇新聞台灣台,http://192.168.100.1:50007/li-4gtv-4gtv156/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
寰宇新聞台灣台,http://192.168.100.1:50007/of-4gtv-4gtv156/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
東森財經新聞,http://192.168.100.1:50007/li-4gtv-4gtv153/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
寰宇財經,http://192.168.100.1:50007/li-4gtv-4gtv158/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
寰宇財經,http://192.168.100.1:50007/of-4gtv-4gtv158/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
中視新聞台,http://192.168.100.1:50007/li-4gtv-4gtv074/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
中視新聞台,http://192.168.100.1:50007/of-4gtv-4gtv074/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
中天新聞台,http://192.168.100.1:50007/li-4gtv-4gtv009/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
中天新聞台,http://192.168.100.1:50007/of-4gtv-4gtv009/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
第1商業台,http://192.168.100.1:50007/li-4gtv-4gtv104/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
VOA 美國之音,http://192.168.100.1:50007/li-litv-ftv03/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW

電影戲劇,#genre#
龍華電影,http://192.168.100.1:50007/li-litv-longturn03/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華電影,http://192.168.100.1:50007/litv-longturn03/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華洋片,http://192.168.100.1:50007/li-litv-longturn02/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華洋片,http://192.168.100.1:50007/litv-longturn02/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華日韓,http://192.168.100.1:50007/li-litv-longturn11/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華日韓,http://192.168.100.1:50007/litv-longturn11/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華偶像,http://192.168.100.1:50007/li-litv-longturn12/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華偶像,http://192.168.100.1:50007/litv-longturn12/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華戲劇,http://192.168.100.1:50007/li-litv-longturn18/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華戲劇,http://192.168.100.1:50007/litv-longturn18/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華經典,http://192.168.100.1:50007/li-litv-longturn21/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
龍華經典,http://192.168.100.1:50007/litv-longturn21/index.m3u8?token=amWXYtITJkOpVHr2vrlj5z93iGlNgkm8NcjnDUwDI4HeVXLvjH7wiDj6thJj2vUW
